,expected,predicted
0,[0.28],[0.22710508]
1,[0.02],[0.18925223]
2,[0.38],[0.3648064]
3,[0.79],[0.18617868]
4,[0.],[0.29560202]
5,[0.36],[0.2527315]
6,[0.65],[0.44621927]
7,[0.28],[0.19542152]
8,[0.],[0.00415428]
9,[0.34],[0.3347987]
10,[0.28],[0.3371474]
11,[0.7],[0.51370573]
12,[0.25],[0.19746335]
13,[0.],[0.1600271]
14,[0.41],[0.3119313]
15,[0.18],[0.19752274]
16,[0.05],[0.05566563]
17,[0.36],[0.2802696]
18,[0.53],[0.193107]
19,[0.56],[0.45918646]
20,[0.19],[0.31495944]
21,[0.42],[0.25062215]
22,[0.17],[0.33287057]
23,[0.],[0.36687413]
24,[0.31],[0.13055934]
25,[0.37],[0.23624018]
26,[0.45],[0.16045707]
27,[0.],[0.21932432]
28,[0.4],[0.34940785]
29,[0.],[0.22013322]
30,[0.25],[0.23639925]
31,[0.39],[0.37933207]
32,[0.36],[0.16461098]
33,[0.],[0.33469576]
34,[0.07],[0.06829682]
35,[0.24],[0.23100898]
36,[0.07],[0.18238091]
37,[0.],[0.30919668]
38,[0.],[0.02888073]
39,[0.33],[0.38736296]
40,[0.36],[0.3003626]
41,[0.34],[0.22048044]
42,[0.],[0.21178181]
43,[0.23],[0.30886623]
44,[0.],[0.31999728]
45,[0.56],[0.26643872]
46,[0.15],[0.17380804]
47,[0.35],[0.39947027]
48,[0.45],[0.36508796]
49,[0.04],[0.22143018]
50,[0.73],[0.30786937]
51,[0.42],[0.42823517]
52,[0.4],[0.22789694]
53,[0.32],[0.28398252]
54,[0.35],[0.20427334]
55,[0.],[0.02454304]
56,[0.2],[0.24997866]
57,[0.08],[0.3503863]
58,[0.51],[0.35272565]
59,[0.],[0.06889204]
60,[0.],[0.08961514]
61,[0.01],[0.51598513]
62,[0.],[0.05596992]
63,[0.32],[0.14123887]
64,[0.26],[0.20885167]
65,[0.],[0.18942119]
66,[0.],[0.4742176]
67,[0.55],[0.35472754]
68,[0.29],[0.4137155]
69,[0.],[0.46260062]
70,[0.],[0.15979636]
71,[0.21],[0.32880923]
72,[0.],[0.0305389]
73,[0.15],[0.19617966]
74,[0.13],[0.1991164]
75,[0.],[0.01536037]
76,[0.],[0.05059332]
77,[0.06],[0.16489898]
78,[0.31],[0.4055686]
79,[0.],[0.3432836]
80,[0.08],[0.2609177]
81,[0.42],[0.16244733]
82,[0.],[0.06749727]
83,[0.04],[0.19772066]
84,[0.19],[0.31536776]
85,[0.44],[0.37900493]
86,[0.24],[0.3434086]
87,[0.66],[0.29876098]
88,[0.01],[0.01556984]
89,[0.],[0.04316346]
90,[0.34],[0.4153058]
91,[0.25],[0.1744463]
92,[0.38],[0.22928509]
93,[0.48],[0.21878132]
94,[0.33],[0.3055845]
95,[0.36],[0.21616167]
96,[0.39],[0.33499286]
97,[0.61],[0.5140631]
98,[0.],[0.05352511]
99,[0.55],[0.2098531]
100,[0.09],[0.11230583]
101,[0.35],[0.45444945]
102,[0.4],[0.5499456]
103,[0.],[0.00912983]
104,[0.4],[0.39666224]
105,[0.4],[0.2892934]
106,[0.17],[0.28246674]
107,[0.76],[0.5199358]
108,[0.],[0.02344539]
109,[0.07],[0.06686967]
110,[0.3],[0.43139032]
111,[0.36],[0.12049635]
112,[0.64],[0.55209994]
113,[0.26],[0.14097668]
114,[0.33],[0.24488601]
115,[0.53],[0.44199902]
116,[0.31],[0.32479236]
117,[0.37],[0.3193563]
118,[0.14],[0.15011422]
119,[0.],[0.05442689]
120,[0.62],[0.3390777]
121,[0.],[0.24876295]
122,[0.],[0.03994396]
123,[0.03],[0.29335108]
124,[0.46],[0.27122927]
125,[0.],[0.30599687]
126,[0.42],[0.069232]
127,[0.4],[0.3321331]
128,[0.63],[0.4018461]
129,[0.62],[0.26772687]
130,[0.],[0.03428604]
131,[0.53],[0.3418153]
132,[0.51],[0.42753318]
133,[0.1],[0.05662833]
134,[0.29],[0.22808307]
135,[0.],[0.29797262]
136,[0.62],[0.3862147]
137,[0.37],[0.3054957]
138,[0.7],[0.5458586]
139,[0.],[0.01260941]
140,[0.27],[0.1260128]
141,[0.71],[0.57346296]
142,[0.],[0.02391843]
143,[0.02],[0.01417331]
144,[0.33],[0.39730746]
145,[0.],[0.0372269]
146,[0.01],[0.1568348]
147,[0.57],[0.35763195]
148,[0.],[0.13924244]
149,[0.42],[0.45423788]
150,[0.73],[0.5241699]
151,[0.48],[0.21885142]
152,[0.42],[0.47142643]
153,[0.25],[0.27946475]
154,[0.29],[0.39381063]
155,[0.],[0.04600309]
156,[0.32],[0.3382384]
157,[0.],[0.35770196]
158,[0.08],[0.02463822]
159,[0.12],[0.15638693]
160,[0.03],[0.26168472]
161,[0.],[0.17891997]
162,[0.46],[0.36243403]
163,[0.69],[0.37522838]
164,[0.],[0.14785399]
165,[0.23],[0.28512844]
166,[0.],[0.04768566]
167,[0.11],[0.19980755]
168,[0.64],[0.5275291]
169,[0.],[-0.0027649]
170,[0.76],[0.584213]
171,[0.38],[0.35393295]
172,[0.4],[0.3367638]
173,[0.32],[0.19552001]
174,[0.08],[0.23007959]
175,[0.46],[0.24784364]
176,[0.33],[0.34414425]
177,[0.52],[0.32456028]
178,[0.],[0.01423153]
179,[0.56],[0.4504916]
180,[0.3],[0.3867576]
181,[0.],[-0.00231272]
182,[0.],[0.06284194]
183,[0.29],[0.23734087]
184,[0.],[0.02114629]
185,[0.08],[0.1423595]
186,[0.29],[0.35293552]
187,[0.49],[0.38385418]
188,[0.26],[0.18297544]
189,[0.04],[0.23242287]
190,[0.],[0.03378231]
191,[0.62],[0.30075845]
192,[0.41],[0.31151712]
193,[0.32],[0.3476379]
194,[0.],[0.04587913]
195,[0.59],[0.45789218]
196,[0.],[0.02170511]
197,[0.56],[0.44863233]
198,[0.32],[0.3806459]
199,[0.],[0.00956163]
200,[0.35],[0.19460496]
201,[0.],[0.00670388]
202,[0.03],[0.36191687]
203,[0.35],[0.348347]
204,[0.27],[0.2201019]
205,[0.37],[0.35265753]
206,[0.44],[0.23168771]
207,[0.4],[0.3097414]
208,[0.47],[0.53377056]
209,[0.],[0.06263432]
210,[0.31],[0.14498574]
211,[0.48],[0.33799747]
212,[0.32],[0.33579016]
213,[0.6],[0.42347205]
214,[0.07],[0.07821196]
215,[0.36],[0.26099998]
216,[0.23],[0.3305874]
217,[0.],[0.42228335]
218,[0.85],[0.5140532]
219,[0.33],[0.2625924]
220,[0.34],[0.39083958]
221,[0.32],[0.26357412]
222,[0.],[0.04343184]
223,[0.37],[0.19764075]
224,[0.51],[0.09551434]
225,[0.],[0.10332274]
226,[0.23],[0.26669925]
227,[0.45],[0.3847532]
228,[0.13],[0.2827471]
229,[0.21],[0.38659242]
230,[0.18],[0.23662528]
231,[0.46],[0.37522727]
232,[0.],[0.06453481]
233,[0.],[0.01283626]
234,[0.44],[0.42250383]
235,[0.35],[0.31182376]
236,[0.],[0.06110457]
237,[0.12],[0.30163014]
238,[0.17],[0.2061537]
239,[0.36],[0.20201504]
240,[0.43],[0.40095574]
241,[0.29],[0.15146711]
242,[0.47],[0.3347257]
243,[0.],[0.04645615]
244,[0.03],[0.39580333]
245,[0.34],[0.31453887]
246,[0.29],[0.34629962]
247,[0.],[0.18423496]
248,[0.34],[0.41987327]
249,[0.56],[0.4110963]
250,[0.37],[0.05708581]
251,[0.02],[0.37287566]
252,[0.24],[0.29725772]
253,[0.67],[0.3478593]
254,[0.16],[0.21541066]
255,[0.6],[0.428807]
256,[0.39],[0.22134663]
257,[0.2],[0.07639168]
258,[0.26],[0.22472166]
259,[0.],[0.08205965]
260,[0.65],[0.39997962]
261,[0.29],[0.32476035]
262,[0.],[0.20702825]
263,[0.],[0.184171]
264,[0.6],[0.33277634]
265,[0.01],[0.01686327]
266,[0.41],[0.32019493]
267,[0.35],[0.19387478]
268,[0.41],[0.37007985]
269,[0.43],[0.47650445]
270,[0.06],[0.07712358]
271,[0.64],[0.46092418]
272,[0.69],[0.4019629]
273,[0.35],[0.23999037]
274,[0.],[0.16763966]
275,[0.],[0.22745453]
276,[0.68],[0.29202408]
277,[0.],[0.23644967]
278,[0.43],[0.42374444]
279,[0.22],[0.32668447]
280,[0.58],[0.40799168]
281,[0.18],[0.25318116]
282,[0.28],[0.36111563]
283,[0.21],[0.23876092]
284,[0.],[0.02482576]
285,[0.36],[0.40002206]
286,[0.37],[0.46283016]
287,[0.27],[0.24728782]
288,[0.58],[0.5147476]
289,[0.66],[0.49495628]
290,[0.31],[0.3075253]
291,[0.12],[0.22487123]
292,[0.],[0.02500305]
293,[0.68],[0.29591343]
294,[0.08],[0.27323893]
295,[0.],[0.1579285]
296,[0.01],[0.28561267]
297,[0.34],[0.30909008]
298,[0.],[0.12584428]
299,[0.43],[0.23075674]
300,[0.34],[0.17763968]
301,[0.],[0.03864201]
302,[0.54],[0.3160025]
303,[0.18],[0.16017109]
304,[0.4],[0.3987919]
305,[0.19],[0.30113584]
306,[0.],[0.42663923]
307,[0.64],[0.26421154]
308,[0.],[0.21565971]
309,[0.54],[0.34773707]
310,[0.],[0.12739733]
311,[0.27],[0.1628632]
312,[0.25],[0.37526342]
313,[0.66],[0.36423323]
314,[0.63],[0.4806361]
315,[0.],[0.0152934]
316,[0.],[0.09708431]
317,[0.67],[0.24697365]
318,[0.27],[0.20195395]
319,[0.04],[0.2213207]
320,[0.],[0.04058965]
321,[0.],[0.13772093]
322,[0.48],[0.3495382]
323,[0.],[0.0097877]
324,[0.07],[0.20401397]
325,[0.17],[0.16419306]
326,[0.],[0.0353421]
327,[0.33],[0.3798613]
328,[0.08],[0.28697434]
329,[0.47],[0.35561413]
330,[0.52],[0.18945004]
331,[0.],[0.02279347]
332,[0.],[0.03470616]
333,[0.],[0.28252396]
334,[0.14],[0.1880942]
335,[0.],[0.03249074]
336,[0.],[0.078266]
337,[0.18],[0.25242892]
338,[0.58],[0.42979708]
339,[0.02],[0.05495828]
340,[0.],[0.2372856]
341,[0.55],[0.34954756]
342,[0.],[0.02142957]
343,[0.38],[0.38110757]
344,[0.12],[0.3630165]
345,[0.32],[0.12343576]
346,[0.],[0.0598874]
347,[0.35],[0.18650594]
348,[0.28],[0.40636805]
349,[0.37],[0.34020206]
350,[0.28],[0.10369182]
351,[0.21],[0.34908184]
352,[0.52],[0.15838353]
353,[0.],[0.34370628]
354,[0.79],[0.44468212]
355,[0.],[0.07683003]
356,[0.36],[0.31439874]
357,[0.28],[0.3194322]
358,[0.42],[0.3403281]
359,[0.],[0.06974571]
360,[0.47],[0.44390363]
361,[0.29],[0.34267348]
362,[0.27],[0.36043692]
363,[0.33],[0.5153858]
364,[0.55],[0.22126643]
365,[0.61],[0.4928143]
366,[0.65],[0.37259373]
367,[0.56],[0.3638489]
368,[0.53],[0.3583164]
369,[0.09],[0.22821082]
370,[0.26],[0.29097977]
371,[0.16],[0.26432514]
372,[0.16],[0.18005443]
373,[0.4],[0.42513824]
374,[0.3],[0.29947063]
375,[0.35],[0.34508774]
376,[0.],[0.07054166]
377,[0.51],[0.18048978]
378,[0.39],[0.35363495]
379,[0.35],[0.42527008]
380,[0.18],[0.15407202]
381,[0.4],[0.38897792]
382,[0.13],[0.19555034]
383,[0.52],[0.4351934]
384,[0.55],[0.26608694]
385,[0.52],[0.24983133]
386,[0.28],[0.35809022]
387,[0.19],[0.24909888]
388,[0.],[0.10138463]
389,[0.],[0.1654588]
390,[0.29],[0.31967536]
391,[0.],[0.17606573]
392,[0.28],[0.26264668]
393,[0.7],[0.44995853]
394,[0.28],[0.2958493]
395,[0.5],[0.47524416]
396,[0.16],[0.09744063]
397,[0.43],[0.21065763]
398,[0.65],[0.3860943]
399,[0.23],[0.24450639]
400,[0.27],[0.37455612]
401,[0.],[0.32202256]
402,[0.51],[0.39945024]
403,[0.37],[0.25094846]
404,[0.46],[0.25172687]
405,[0.21],[0.34060234]
406,[0.],[0.3670258]
407,[0.],[0.1298295]
408,[0.27],[0.37964025]
409,[0.25],[0.24090251]
410,[0.],[0.01598164]
411,[0.03],[0.14371747]
412,[0.16],[0.05917299]
413,[0.],[0.3469157]
414,[0.34],[0.3582047]
415,[0.],[0.20576109]
416,[0.05],[0.05374496]
417,[0.33],[0.3319859]
418,[0.46],[0.3156221]
419,[0.42],[0.3862373]
420,[0.39],[0.31262022]
421,[0.11],[0.17928582]
422,[0.],[0.02170464]
423,[0.68],[0.49333125]
424,[0.11],[0.10322098]
425,[0.06],[0.19324253]
426,[0.18],[0.17359434]
427,[0.43],[0.43481869]
428,[0.38],[0.2890715]
429,[0.03],[0.45032755]
430,[0.07],[0.4538764]
431,[0.],[0.25423515]
432,[0.],[0.22211784]
433,[0.],[0.35660344]
434,[0.],[0.31286776]
435,[0.3],[0.1867526]
436,[0.11],[0.04819023]
437,[0.52],[0.10335967]
438,[0.65],[0.3770609]
439,[0.22],[0.2424808]
440,[0.5],[0.36415118]
441,[0.35],[0.19737698]
442,[0.18],[0.19640303]
443,[0.],[0.02030681]
444,[0.06],[0.05451972]
445,[0.42],[0.388278]
446,[0.32],[0.2897675]
447,[0.53],[0.3367349]
448,[0.56],[0.3746027]
449,[0.44],[0.16171634]
450,[0.74],[0.11035988]
451,[0.44],[0.24848208]
452,[0.],[0.01599252]
453,[0.24],[0.18507619]
454,[0.4],[0.22342339]
455,[0.14],[0.0905342]
456,[0.],[0.1706338]
457,[0.22],[0.3255698]
458,[0.42],[0.33444896]
459,[0.],[0.16883895]
460,[0.24],[0.22473064]
461,[0.38],[0.367025]
462,[0.43],[0.3510057]
463,[0.29],[0.38456726]
464,[0.29],[0.37086698]
465,[0.12],[0.14213593]
466,[0.],[0.20831047]
467,[0.42],[0.2711978]
468,[0.05],[0.05980886]
469,[0.4],[0.39087966]
470,[0.04],[0.3935431]
471,[0.1],[0.23035969]
472,[0.25],[0.405912]
473,[0.68],[0.48531577]
474,[0.38],[0.29295757]
475,[0.],[0.01116541]
476,[0.46],[0.41402173]
477,[0.],[0.22808413]
478,[0.],[0.39207727]
479,[0.48],[0.35907322]
480,[0.56],[0.36000517]
481,[0.49],[0.26659083]
482,[0.38],[0.33816734]
483,[0.],[0.15986128]
484,[0.55],[0.44193524]
485,[0.04],[0.24478316]
486,[0.44],[0.3145784]
487,[0.52],[0.39435798]
488,[0.11],[0.22890723]
489,[0.32],[0.31348503]
490,[0.],[0.03592109]
491,[0.17],[0.36456656]
492,[0.23],[0.3669874]
493,[0.05],[0.13973325]
494,[0.25],[0.3388311]
495,[0.63],[0.522439]
496,[0.47],[0.36279944]
497,[0.54],[0.30546027]
498,[0.21],[0.08402567]
499,[0.3],[0.21629441]
500,[0.57],[0.34439996]
501,[0.46],[0.38849342]
502,[0.],[0.13546285]
503,[0.01],[0.12060902]
504,[0.45],[0.4212813]
505,[0.01],[0.0742455]
506,[0.54],[0.44488958]
507,[0.32],[0.3494962]
508,[0.37],[0.29966614]
509,[0.65],[0.25366366]
510,[0.13],[0.04857237]
511,[0.47],[0.37075725]
512,[0.],[0.04885791]
513,[0.],[0.03251108]
514,[0.05],[0.3644835]
515,[0.5],[0.4405938]
516,[0.23],[0.20575298]
517,[0.51],[0.26370728]
518,[0.],[0.02093125]
519,[0.33],[0.2802267]
520,[0.01],[0.08032386]
521,[0.29],[0.3433938]
522,[0.39],[0.30474594]
523,[0.],[0.01546202]
524,[0.25],[0.16547064]
525,[0.42],[0.3453495]
526,[0.44],[0.25873]
527,[0.],[0.01652323]
528,[0.08],[0.10473263]
529,[0.19],[0.2599274]
530,[0.04],[0.18334565]
531,[0.26],[0.36474508]
532,[0.21],[0.24436483]
533,[0.11],[0.1814759]
534,[0.38],[0.45615524]
535,[0.],[0.06985277]
536,[0.],[0.01531043]
537,[0.11],[0.2635591]
538,[0.71],[0.4341785]
539,[0.62],[0.39746532]
540,[0.03],[0.04393432]
541,[0.33],[0.18467203]
542,[0.],[0.10753874]
543,[0.],[0.20744944]
544,[0.06],[0.13763174]
545,[0.05],[0.27466714]
546,[0.25],[0.25247824]
547,[0.26],[0.31727898]
548,[0.34],[0.4237733]
549,[0.06],[0.28300983]
550,[0.],[0.00362669]
551,[0.32],[0.3605085]
552,[0.33],[0.23997204]
553,[0.33],[0.39548373]
554,[0.],[0.02032675]
555,[0.24],[0.22313088]
556,[0.],[0.4113027]
557,[0.4],[0.25906432]
558,[0.68],[0.39882046]
559,[0.32],[0.23053882]
560,[0.01],[0.04458531]
561,[0.],[0.06688488]
562,[0.],[0.37938648]
563,[0.49],[0.5246565]
564,[0.36],[0.39517736]
565,[0.1],[0.12523377]
566,[0.],[0.04935538]
567,[0.],[0.15769148]
568,[0.32],[0.34130785]
569,[0.47],[0.41662103]
570,[0.19],[0.22617264]
571,[0.],[0.02539352]
572,[0.24],[0.09858237]
573,[0.01],[0.02810844]
574,[0.],[0.03501554]
575,[0.],[0.5493976]
576,[0.41],[0.30617598]
577,[0.32],[0.3423367]
578,[0.],[0.15964594]
579,[0.36],[0.31430376]
580,[0.23],[0.30100444]
581,[0.19],[0.29175955]
582,[0.23],[0.20599759]
583,[0.19],[0.24483445]
584,[0.],[0.29712135]
585,[0.56],[0.42753944]
586,[0.47],[0.2129734]
587,[0.29],[0.21094677]
588,[0.46],[0.14841712]
589,[0.],[0.00382538]
590,[0.71],[0.19036587]
591,[0.],[0.17463216]
592,[0.],[0.33919623]
593,[0.02],[0.36305428]
594,[0.3],[0.3341237]
595,[0.07],[0.17261714]
596,[0.],[0.02722971]
597,[0.23],[0.35995105]
598,[0.],[0.09884407]
599,[0.13],[0.10744808]
600,[0.],[0.19655167]
601,[0.05],[0.1989374]
602,[0.32],[0.52007014]
603,[0.43],[0.4612119]
604,[0.5],[0.34652796]
605,[0.62],[0.58242345]
606,[0.27],[0.35182825]
607,[0.53],[0.5083748]
608,[0.],[0.2020766]
609,[0.34],[0.378927]
610,[0.33],[0.40948987]
611,[0.43],[0.4688626]
612,[0.72],[0.5146028]
613,[0.],[0.22172086]
614,[0.6],[0.37325758]
615,[0.],[0.0537994]
616,[0.],[0.0089656]
617,[0.],[0.10279369]
618,[0.],[0.01825979]
619,[0.29],[0.33615375]
620,[0.],[0.12292362]
621,[0.66],[0.32862505]
622,[0.],[0.03009319]
623,[0.41],[0.34447005]
624,[0.],[0.07557098]
625,[0.58],[0.46611452]
626,[0.59],[0.30894342]
627,[0.],[0.31853747]
628,[0.15],[0.3066173]
629,[0.32],[0.24769527]
630,[0.44],[0.20561069]
631,[0.59],[0.23943162]
632,[0.36],[0.2967089]
633,[0.27],[0.31951806]
634,[0.03],[0.15249686]
635,[0.31],[0.31231412]
636,[0.66],[0.4860351]
637,[0.5],[0.3706055]
638,[0.24],[0.24782759]
639,[0.27],[0.18375437]
640,[0.39],[0.36484504]
641,[0.39],[0.39938113]
642,[0.39],[0.36139095]
643,[0.48],[0.40015945]
644,[0.],[0.08032332]
645,[0.42],[0.16593738]
646,[0.38],[0.17312795]
647,[0.31],[0.02425377]
648,[0.46],[0.32207066]
649,[0.],[0.04871883]
650,[0.46],[0.47691196]
651,[0.28],[0.21404904]
652,[0.61],[0.49905154]
653,[0.36],[0.35061252]
654,[0.37],[0.10925673]
655,[0.26],[0.3190731]
656,[0.5],[0.21979083]
657,[0.03],[0.19347677]
658,[0.62],[0.37974072]
659,[0.18],[0.21622998]
660,[0.56],[0.47654733]
661,[0.4],[0.19328837]
662,[0.09],[0.27747118]
663,[0.33],[0.29417235]
664,[0.68],[0.4129845]
665,[0.],[0.15975432]
666,[0.32],[0.40238634]
667,[0.47],[0.23551689]
668,[0.],[0.02995076]
669,[0.66],[0.27249253]
670,[0.02],[0.05766313]
671,[0.11],[0.23533183]
672,[0.03],[0.1298058]
673,[0.01],[0.02158964]
674,[0.],[0.11989567]
675,[0.54],[0.35712087]
676,[0.13],[0.04864524]
677,[0.],[0.05727858]
678,[0.12],[0.21469668]
679,[0.],[0.03629904]
680,[0.],[0.23145902]
681,[0.07],[0.05211646]
