,id,popularity,artist_ids
71,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo  ,9,"['246dkjvS1zLTtiykXe5h60', '50co4Is1HCEo8bhOyUWKpn']"
102,https://open.spotify.com/track/6CeZoh6Oemi28WQRpa004x  ,0,"['6Xgp2XMz1fhVYe7i6yNAax', '1z7b1Pr1rSlvWRzsW3HOrS']"
117,https://open.spotify.com/track/4yJiXq86uM56uIfIZgE440  ,11,['2cFrymmkijnjDg9SS92EPM']
126,https://open.spotify.com/track/08dFHFTx6r67MTsYn5ilDR  ,4,['6y8XlgIV8BLlIg1tT1R10i']
200,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx  ,1,"['246dkjvS1zLTtiykXe5h60', '1URnnhqYAYcrqrcwql10ft']"
206,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb  ,2,"['4nDoRrQiYLoBzwC5BhVJzF', '50co4Is1HCEo8bhOyUWKpn']"
215,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y  ,0,['2wY79sveU1sp5g7SokKOiI']
239,https://open.spotify.com/track/6c7D34787LOtPm8tzhsLgH  ,0,"['6Ha4aES39QiVjR0L2lwuwq', '0hCNtLu0JehylgoiP8L4Gh']"
250,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi  ,1,['6VuMaDnrHyPL1p4EHjYLi7']
251,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8  ,1,"['1vyhD5VmyZ7KMfW5gqLgo5', '4RSyJzf7ef6Iu2rnLdabNq']"
258,https://open.spotify.com/track/1pZdegOXTZ2ftINo3oUuRZ  ,0,['5pUo3fmmHT8bhCyHE52hA6']
259,https://open.spotify.com/track/7fwXWKdDNI5IutOMc5OKYw  ,0,"['1vyhD5VmyZ7KMfW5gqLgo5', '4RSyJzf7ef6Iu2rnLdabNq', '6vWDO969PvNqNYHIOW5v0m']"
261,https://open.spotify.com/track/4v094LQ9eF10k2O2Te2ngK  ,0,['1Hsdzj7Dlq2I7tHP7501T4']
262,https://open.spotify.com/track/2UxfcZJCphbEkfbZ6nLiDx  ,0,"['23fqKkggKUBHNkbKtXEls4', '79QO0Xmn1dZhvaLicS2Yrs']"
271,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ  ,1,"['5pUo3fmmHT8bhCyHE52hA6', '0VRj0yCOv2FXJNP47XQnx5']"
277,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz  ,1,"['1uNFoZAHBGtllmzznpCI3s', '1okJ4NC308qbtY9LyHn6DO']"
293,https://open.spotify.com/track/2nYwV62UABTH0NanrwVIdQ  ,0,['7iZtZyCzp3LItcw1wtPI3D']
298,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu  ,2,['7n2wHs1TKAczGzO7Dd2rGr']
299,https://open.spotify.com/track/0Wv5wuenRLI3BcwgT3HPIP  ,0,"['540vIaP2JwjQb9dm3aArA4', '5JZ7CnR6gTvEMKX4g70Amv']"
318,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC  ,2,"['0C8ZW7ezQVs4URX5aX7Kqx', '64KEffDW9EtZ1y2vBYgq8T']"
332,https://open.spotify.com/track/3UwT4FadEGWyMdaSwYcUBY  ,0,['1Hsdzj7Dlq2I7tHP7501T4']
346,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g  ,1,"['2qxJFvFYMEDqd7ui6kSAcq', '2wUjUUtkb5lvLKcGKsKqsR']"
347,https://open.spotify.com/track/3zoYkqS4y2BsGVShPL2nTE  ,0,"['0eecdvMrqBftK0M1VKhaF4', '3e7awlrlDSwF3iM0WBjGMp']"
356,https://open.spotify.com/track/2uSLx5uwRIhiA3sJJraNqX  ,0,"['04gDigrS5kc9YWfZHwBETP', '0ZED1XzwlLHW4ZaG4lOT6m']"
359,https://open.spotify.com/track/2ZE3DJuizYTad2S4CvRRhK  ,0,['5JZ7CnR6gTvEMKX4g70Amv']
367,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0  ,1,"['5ZsFI1h6hIdQRw2ti0hz81', '06HL4z0CvFAxyc27GXpf02']"
370,https://open.spotify.com/track/6kig1UFggPUyZBCvXD3Wod  ,0,"['0iEtIxbK0KxaSlF7G42ZOp', '4DdkRBBYG6Yk9Ka8tdJ9BW', '3TVXtAsR1Inumwj472S9r4']"
380,https://open.spotify.com/track/2mfUa8bLs2s5N4VaqJZ4lZ  ,0,['5p7f24Rk5HkUZsaS3BLG5F']
383,https://open.spotify.com/track/4OEOEsOhlzDqQuewiuPJAc  ,0,"['04gDigrS5kc9YWfZHwBETP', '13ubrt8QOOCPljQ2FL1Kca']"
387,https://open.spotify.com/track/7cQMJ0wDqVS5iM0JIvP6Ay  ,0,['4UXqAaa6dQYAk18Lv7PEgX']
389,https://open.spotify.com/track/0luqG2fhUz17ncifrWqrut  ,0,"['2jku7tDXc6XoB6MO2hFuqg', '1RyvyyTE3xzB2ZywiAwp0i']"
391,https://open.spotify.com/track/0XLOf9LhyazPX9Ld8jPiUq  ,0,"['0C8ZW7ezQVs4URX5aX7Kqx', '13y7CgLHjMVRMDqxdx0Xdo']"
403,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB  ,1,"['7gZfnEnfiaHzxARJ2LeXrf', '0hCNtLu0JehylgoiP8L4Gh', '3CbYyyd8wH3RT6t0jwpdzC']"
443,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C  ,4,"['7gZfnEnfiaHzxARJ2LeXrf', '2R21vXR83lH98kGeO99Y66']"
448,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs  ,18,"['6t1gpxYbY8OlLA7D2RiikQ', '5uEeqYFuIChoWKy34jp8xE']"
473,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi  ,0,"['5WUlDfRSoLAfcVSX1WnrxN', '5fMUXHkw8R8eOP2RNVYEZX', '2feDdbD5araYcm6JhFHHw7', '6IZ4ctovY9dl7bgHClAvKJ']"
508,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF  ,2,['5K4W6rqBFWDnAN6FQUkS6x']
553,https://open.spotify.com/track/6kp0inxIexxSiDJfWqq0ZL  ,0,"['7gZfnEnfiaHzxARJ2LeXrf', '1qSJaftSab2kTTsj7fLxvM']"
580,https://open.spotify.com/track/3OtQmFLS5b3pTgIf44GQFJ  ,0,"['69GGBxA162lTqCwzJG5jLp', '1oKdM70mJD8VvDOTKeS8t1']"
586,https://open.spotify.com/track/17JYzDCW1UTndfURuTydF2  ,1,"['3WGpXCj9YhhfX11TToZcXP', '66CXWjxzNUsdJxJ2JdwvnR']"
662,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3  ,1,"['7gZfnEnfiaHzxARJ2LeXrf', '2jku7tDXc6XoB6MO2hFuqg']"
669,https://open.spotify.com/track/4QIyEq7TcTdAcxjI2AFlAK  ,1,"['7gZfnEnfiaHzxARJ2LeXrf', '0hCNtLu0JehylgoiP8L4Gh', '3CbYyyd8wH3RT6t0jwpdzC']"
677,https://open.spotify.com/track/5VEuraNSVxMTzDTtrmL3lQ  ,21,['6ZjFtWeHP9XN7FeKSUe80S']
690,https://open.spotify.com/track/4EZUcj7c8n9pWIwHqN0DoH  ,18,['6ZjFtWeHP9XN7FeKSUe80S']
704,https://open.spotify.com/track/4eqne0oIdt9GW2ubiliny0  ,0,['0hItVPjwJLVZrFqOyIsxPf']
727,https://open.spotify.com/track/4m5Cd9kAbIxg6t9sMrQWtk  ,0,"['7gZfnEnfiaHzxARJ2LeXrf', '5f7VJjfbwm532GiveGC0ZK']"
737,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim  ,28,['4npEfmQ6YuiwW1GpUmaq3F']
752,https://open.spotify.com/track/1UQbxSOVbauPxaUh337GTx  ,29,['26dSoYclwsYLMAKD3tpOr4']
754,https://open.spotify.com/track/1oJ8EDr2pv94IvSd6ZmDgo  ,1,"['7gZfnEnfiaHzxARJ2LeXrf', '0hCNtLu0JehylgoiP8L4Gh', '5K4W6rqBFWDnAN6FQUkS6x']"
782,https://open.spotify.com/track/6o79O9qBP3OAkWOXajAQIS  ,4,"['7gZfnEnfiaHzxARJ2LeXrf', '31W5EY0aAly4Qieq6OFu6I']"
790,https://open.spotify.com/track/1tT55K6VEyO6XFDxK4lDQe  ,0,['4K9aclpXgCPNFGEqRlFPal']
1028,https://open.spotify.com/track/43V1z6QToNNWNldV4FEG6r  ,0,"['6t1gpxYbY8OlLA7D2RiikQ', '5uEeqYFuIChoWKy34jp8xE']"
1041,https://open.spotify.com/track/2RM4jf1Xa9zPgMGRDiht8O  ,0,"['0A0FS04o6zMoto8OKPsDwY', '17lzZA2AlOHwCwFALHttmp', '0c173mlxpT3dSFRgMO8XPh', '0hCNtLu0JehylgoiP8L4Gh']"
1078,https://open.spotify.com/track/4P92FrvmYQSAfOpp4cpFEi  ,0,['3b8QkneNDz4JHKKKlLgYZg']
1118,https://open.spotify.com/track/2r4JRwcbIeuAzWjH4YXlLs  ,0,['5K4W6rqBFWDnAN6FQUkS6x']
1119,https://open.spotify.com/track/447yWcDPg1ddgcHBLGpJC0  ,0,"['7wg1qvie3KqDNQbAkTdbX0', '0FL2d6iFFNAV3yBUbXjZ1U']"
1141,https://open.spotify.com/track/7MRY4VpCuZvBmFda6ZCk2G  ,0,['3mIj9lX2MWuHmhNCA7LSCW']
