,Position,Track Name,Artist,Streams,Week,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artists,explicit,popularity,artist_ids
0,1,The Box,Roddy Ricch,15981992,2020-02-21,0nbXyq5TXYPCO7pr3N8S4I,0.8959999999999999,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653,4,['Roddy Ricch'],True,87,['757aE44tKEUQEqRuT6GnEB']
1,2,After Hours,The Weeknd,10284660,2020-02-21,4ejyZ4uJEXUURcgKp1kP8v,0.6629999999999999,0.5670000000000001,5,-5.941,0,0.0309,0.0938,0.00978,0.124,0.139,108.959,361947,4,['The Weeknd'],False,4,['1Xyo4u8uXC1ZmMpatF05PJ']
2,3,Intentions (feat. Quavo),Justin Bieber,8800978,2020-02-21,4umIPjkehX1r7uhmGvXiSV,0.8059999999999999,0.546,9,-6.6370000000000005,1,0.0575,0.3,0.0,0.102,0.8740000000000001,147.986,212867,4,"['Justin Bieber', 'Quavo']",False,80,"['1uNFoZAHBGtllmzznpCI3s', '0VRj0yCOv2FXJNP47XQnx5']"
3,4,Blinding Lights,The Weeknd,8700003,2020-02-21,0sf12qNH5qcw8qpgymFOqD,0.513,0.7959999999999999,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,201573,4,['The Weeknd'],False,28,['1Xyo4u8uXC1ZmMpatF05PJ']
4,5,Life Is Good (feat. Drake),Future,8568557,2020-02-21,5yY9lUy8nbvjM1Uyo1Uqoc,0.6759999999999999,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037,237735,4,"['Future', 'Drake']",True,84,"['1RyvyyTE3xzB2ZywiAwp0i', '3TVXtAsR1Inumwj472S9r4']"
5,6,Blueberry Faygo,Lil Mosey,8111330,2020-02-21,22LAwLoDA5b4AaGSkg6bKW,0.774,0.5539999999999999,0,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99.034,162547,4,['Lil Mosey'],True,81,['5zctI4wO9XSKS8XwcnqEHk']
6,7,ROXANNE,Arizona Zervas,7283056,2020-02-21,696DnlkuDOXcMAnKlTgXXK,0.621,0.601,6,-5.6160000000000005,0,0.14800000000000002,0.0522,0.0,0.46,0.457,116.735,163636,5,['Arizona Zervas'],True,84,['0vRvGUQVUjytro0xpb26bs']
7,8,High Fashion (feat. Mustard),Roddy Ricch,6824444,2020-02-21,07KXEDMj78x68D884wgVEm,0.831,0.499,11,-8.442,0,0.114,0.269,0.0,0.3,0.511,97.956,220487,4,"['Roddy Ricch', 'Mustard']",True,79,"['757aE44tKEUQEqRuT6GnEB', '0YinUQ50QDB7ZxSCLyQ40k']"
8,9,Don't Start Now,Dua Lipa,6515970,2020-02-21,6WrI0LAC5M1Rw2MnX2ZvEg,0.794,0.7929999999999999,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290,4,['Dua Lipa'],False,84,['6M2wZ9GZgrQXHCFfjv46we']
9,10,Circles,Post Malone,6275245,2020-02-21,21jGcNKet2qwijlDFuPiPb,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.5529999999999999,120.042,215280,4,['Post Malone'],False,88,['246dkjvS1zLTtiykXe5h60']
